Session;Participant;Block;Condition;Display;OnsetDelay;Percept;Time
2018-12-12-08-11-23;PME1998m;1;Passive;KDE -45;1,20964349382;right;1,06761368725
2018-12-12-08-11-23;PME1998m;1;Passive;KDE -45;1,20964349382;unclear;12,4218003613
2018-12-12-08-11-23;PME1998m;1;Passive;KDE -45;1,20964349382;right;13,1439277646
2018-12-12-08-11-23;PME1998m;1;Passive;KDE -45;1,20964349382;unclear;20,2326402711
2018-12-12-08-11-23;PME1998m;1;Passive;KDE -45;1,20964349382;left;20,3993972299
2018-12-12-08-11-23;PME1998m;1;Passive;KDE -45;1,20964349382;unclear;37,8466158169
2018-12-12-08-11-23;PME1998m;1;Passive;KDE -45;1,20964349382;right;38,013300936
2018-12-12-08-11-23;PME1998m;1;Passive;KDE -45;1,20964349382;unclear;52,8250268699
2018-12-12-08-11-23;PME1998m;1;Passive;KDE -45;1,20964349382;left;52,8583832376
2018-12-12-08-11-23;PME1998m;1;Passive;KDE -45;1,20964349382;end of the block;60,0141993999
2018-12-12-08-11-23;PME1998m;2;Passive;KDE 45;1,46923943616;left;0,950864689901
2018-12-12-08-11-23;PME1998m;2;Passive;KDE 45;1,46923943616;unclear;25,3700732206
2018-12-12-08-11-23;PME1998m;2;Passive;KDE 45;1,46923943616;right;25,4034560228
2018-12-12-08-11-23;PME1998m;2;Passive;KDE 45;1,46923943616;left;36,6289474568
2018-12-12-08-11-23;PME1998m;2;Passive;KDE 45;1,46923943616;unclear;38,0635306367
2018-12-12-08-11-23;PME1998m;2;Passive;KDE 45;1,46923943616;right;38,0801138117
2018-12-12-08-11-23;PME1998m;2;Passive;KDE 45;1,46923943616;unclear;40,7988939781
2018-12-12-08-11-23;PME1998m;2;Passive;KDE 45;1,46923943616;left;40,7989704829
2018-12-12-08-11-23;PME1998m;2;Passive;KDE 45;1,46923943616;end of the block;60,0140644282
2018-12-12-08-11-23;PME1998m;3;Passive;NC;1,42297085545;right;4,20346118536
2018-12-12-08-11-23;PME1998m;3;Passive;NC;1,42297085545;unclear;32,9259969249
2018-12-12-08-11-23;PME1998m;3;Passive;NC;1,42297085545;left;33,8434032408
2018-12-12-08-11-23;PME1998m;3;Passive;NC;1,42297085545;unclear;41,4326372855
2018-12-12-08-11-23;PME1998m;3;Passive;NC;1,42297085545;right;41,5328195907
2018-12-12-08-11-23;PME1998m;3;Passive;NC;1,42297085545;end of the block;60,014073447
2018-12-12-08-11-23;PME1998m;4;Passive;KDE -45;1,45791204565;right;0,43385078719
2018-12-12-08-11-23;PME1998m;4;Passive;KDE -45;1,45791204565;unclear;20,5663249249
2018-12-12-08-11-23;PME1998m;4;Passive;KDE -45;1,45791204565;left;20,5670451888
2018-12-12-08-11-23;PME1998m;4;Passive;KDE -45;1,45791204565;unclear;38,14682748
2018-12-12-08-11-23;PME1998m;4;Passive;KDE -45;1,45791204565;right;38,1969001284
2018-12-12-08-11-23;PME1998m;4;Passive;KDE -45;1,45791204565;unclear;51,5240741063
2018-12-12-08-11-23;PME1998m;4;Passive;KDE -45;1,45791204565;left;51,574069317
2018-12-12-08-11-23;PME1998m;4;Passive;KDE -45;1,45791204565;end of the block;60,0140659831
2018-12-12-08-11-23;PME1998m;5;Passive;KDE 45;1,48423419722;left;0,733985945524
2018-12-12-08-11-23;PME1998m;5;Passive;KDE 45;1,48423419722;right;10,7585386728
2018-12-12-08-11-23;PME1998m;5;Passive;KDE 45;1,48423419722;left;14,928496701
2018-12-12-08-11-23;PME1998m;5;Passive;KDE 45;1,48423419722;unclear;41,699608271
2018-12-12-08-11-23;PME1998m;5;Passive;KDE 45;1,48423419722;right;41,7496759434
2018-12-12-08-11-23;PME1998m;5;Passive;KDE 45;1,48423419722;left;56,8448630503
2018-12-12-08-11-23;PME1998m;5;Passive;KDE 45;1,48423419722;end of the block;60,0140998816
2018-12-12-08-11-23;PME1998m;6;Passive;NC;1,32837689536;right;1,31779375323
2018-12-12-08-11-23;PME1998m;6;Passive;NC;1,32837689536;left;21,6671282866
2018-12-12-08-11-23;PME1998m;6;Passive;NC;1,32837689536;unclear;26,6544157528
2018-12-12-08-11-23;PME1998m;6;Passive;NC;1,32837689536;right;26,6711043549
2018-12-12-08-11-23;PME1998m;6;Passive;NC;1,32837689536;left;30,1405780398
2018-12-12-08-11-23;PME1998m;6;Passive;NC;1,32837689536;unclear;33,8935300023
2018-12-12-08-11-23;PME1998m;6;Passive;NC;1,32837689536;right;33,9101455207
2018-12-12-08-11-23;PME1998m;6;Passive;NC;1,32837689536;left;40,4153052352
2018-12-12-08-11-23;PME1998m;6;Passive;NC;1,32837689536;right;41,9998612963
2018-12-12-08-11-23;PME1998m;6;Passive;NC;1,32837689536;unclear;44,6520105191
2018-12-12-08-11-23;PME1998m;6;Passive;NC;1,32837689536;left;44,6686251045
2018-12-12-08-11-23;PME1998m;6;Passive;NC;1,32837689536;unclear;45,5693897785
2018-12-12-08-11-23;PME1998m;6;Passive;NC;1,32837689536;right;45,5694721921
2018-12-12-08-11-23;PME1998m;6;Passive;NC;1,32837689536;unclear;50,1228787046
2018-12-12-08-11-23;PME1998m;6;Passive;NC;1,32837689536;left;50,2230162265
2018-12-12-08-11-23;PME1998m;6;Passive;NC;1,32837689536;unclear;51,7408296968
2018-12-12-08-11-23;PME1998m;6;Passive;NC;1,32837689536;right;51,7575521974
2018-12-12-08-11-23;PME1998m;6;Passive;NC;1,32837689536;unclear;57,0617010544
2018-12-12-08-11-23;PME1998m;6;Passive;NC;1,32837689536;left;57,0784384827
2018-12-12-08-11-23;PME1998m;6;Passive;NC;1,32837689536;unclear;57,5954893938
2018-12-12-08-11-23;PME1998m;6;Passive;NC;1,32837689536;right;57,5955680755
2018-12-12-08-11-23;PME1998m;6;Passive;NC;1,32837689536;unclear;59,31345351
2018-12-12-08-11-23;PME1998m;6;Passive;NC;1,32837689536;left;59,330150509
